id,name,category,location,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
1899,Mosswood Sherry Aged Irish Whiskey,Other Whiskey,"(further aged and bottled in California), Ireland",3,46,finished in Amontillado sherry,10,0,20,10,30,40,40,40,0,25,0,10,0
1900,Glenlivet Nadurra Peated Whisky Cask Finish,Peated Single Malt,"Speyside, Scotland",4,61.5,finished in heavily-peated whisky barrels,60,50,40,20,10,50,30,40,0,30,20,30,30
1901,J. Henry & Sons 5 Year Small Batch Wisconsin Straight Bourbon,Bourbon,"Wisconsin , USA",2,46,"new, charred American oak",10,0,30,20,5,60,50,60,5,30,15,40,0
1902,Hillrock Estate Port Cask Finished Double Cask Rye,Rye,"New York, USA",4,45,"new, charred American oak; finished in ex-port casks",15,0,30,0,5,75,70,60,0,30,5,50,0
1903,New World Projects:  Project X,White,"Victoria, Australia",3,42.1,,0,0,40,40,40,30,30,60,40,40,50,60,50
1904,Buffalo Trace Experimental Collection 13 Year Old-Fashioned Sour Mash Bourbon (105 Entry Proof),Bourbon,"Kentucky, USA",4,45,"new, charred American oak",0,0,20,0,50,30,40,60,0,50,10,0,0
1905,Taconic Distillery Barrel Strength Bourbon,Bourbon,USA,2,57.5,"new, charred American oak",10,0,60,30,30,60,70,60,10,60,30,70,40
1906,Great Outback Rare Old Australian Single Malt,Single Malt,Australia,5,40,,20,0,20,30,0,10,10,70,20,20,30,40,0
1907,The Glenrothes Vintage Reserve,Single Malt,"Speyside, Scotland",3,40,ex-bourbon & ex-Sherry,10,0,50,30,30,60,60,80,10,70,30,60,80
1908,Blair Athol 12 Year Flora & Fauna,Single Malt,"Highlands, Scotland",3,43,"Ex-Bourbon, Ex-Sherry",15,0,5,40,35,40,55,10,0,25,10,35,10
1909,Overeem Port Cask Matured Single Malt,Single Malt,"Tasmania, Australia",5,43,ex-port,20,10,40,40,40,50,70,50,10,60,30,60,70
1910,Watershed Bourbon (Discontinued),Bourbon,"Ohio, USA",2,47,"new, charred American oak",0,0,30,20,20,50,60,80,0,70,0,30,10
1911,Paul John Edited Single Malt,Peated Single Malt,"Goa, India",2,46,,70,60,70,50,30,40,40,40,0,10,40,30,20
1912,66 Gilead Wild Oak Whisky,Canadian,"Ontario, Canada",3,47,"new, charred oak",50,0,55,20,40,45,35,45,0,40,20,50,45
1913,Parker's Heritage Malt Whiskey 8 Year,Other Whiskey,"Kentucky, USA",4,54,"new, charred American oak",10,0,5,0,15,80,80,80,15,30,15,50,0
1914,Glen Garioch 1995,Peated Single Malt,"Highlands, Scotland",4,55.3,1st fill ex-bourbon,30,20,60,20,40,50,50,30,0,30,10,20,30
1915,Locke's 8 Year Single Malt,Peated Single Malt,Ireland,2,40,ex-bourbon casks,20,40,60,30,20,50,70,80,0,90,40,70,70
1916,Linkwood 15 Year Distillery Labels (Gordon & MacPhail),Single Malt,"Speyside, Scotland",3,43,Refill sherry casks,0,0,20,20,35,40,50,55,0,20,25,70,25
1917,Glenmorangie Companta,Single Malt,"Highlands, Scotland",4,46,Grand Cru & ex-fortified wine,0,0,35,25,45,65,45,35,20,10,20,25,30
1918,Crown Royal XO,Canadian,"Manitoba, Canada",2,40,finished in ex-cognac barrels,20,0,50,30,40,70,80,80,0,70,20,60,50
1919,Blade And Bow Bourbon 22 Year (2015 Release),Bourbon,"Kentucky, USA",5,46,"new, charred American oak",20,0,80,30,10,50,50,60,2,70,30,60,50
1920,Hellyers Road Original Single Malt,Single Malt,"Tasmania, Australia",3,46.2,ex-Jack Daniels Barrels,10,0,40,30,50,60,50,60,10,70,30,60,50
1921,Hellyers Road Single Malt Pinot Noir Finish,Single Malt,"Tasmania, Australia",3,46.2,"American white oak, ex-Pinot Noir wine casks",0,0,60,40,50,40,50,40,0,30,60,50,60
1922,Hibiki Japanese Harmony,Blended,Japan,3,43,"variety of casks including American oak, Japanese Mizunara, and ex-sherry",10,0,20,60,0,40,20,50,0,30,10,50,70
1923,Strathmill 12 Year Flora & Fauna,Single Malt,"Speyside, Scotland",3,43,,10,10,35,45,10,60,50,75,10,25,25,60,30
1924,Temperance Trader Chinato Barrel-Finished Bourbon,Bourbon,"Indiana (bottled in Oregon), USA",2,45,"new, charred American oak; finished in ex-chinato casks",0,0,40,90,10,30,10,50,0,60,10,80,30
1925,anCnoc Cutter,Peated Single Malt,"Highlands, Scotland",3,46,ex-bourbon,75,70,10,20,40,80,80,40,10,15,0,50,0
1926,West Cork 10 Year Single Malt,Single Malt,Ireland,2,40,first-fill bourbon,0,0,20,20,50,70,70,70,0,80,60,80,60
1927,Hirsch Small Batch Reserve Kentucky Straight Bourbon,Bourbon,"Kentucky, USA",2,46,"new, charred American oak",0,0,80,10,30,70,70,70,10,70,30,60,50
1928,Clayton James Tennessee Whiskey,Tennessee,"Tennessee, USA",2,45,"new, charred American oak",40,0,60,20,30,80,80,70,0,80,50,80,70
1929,Craigellachie 19 Year,Single Malt,"Speyside, Scotland",4,46,,20,5,65,50,20,40,40,50,5,35,25,50,15
1930,Re:Find Rye,Rye,"California, USA",2,45,"new, charred American oak",30,0,50,25,0,60,60,60,0,20,30,80,0
1931,Black Bottle Blended Scotch,Peated Blend,Scotland,2,40,,40,30,25,15,25,80,85,75,0,20,0,35,20
1932,Forged Oak 15 Year Bourbon,Bourbon,"Kentucky (bottled in Tennessee), USA",4,45.25,"new, charred American oak",30,0,80,30,0,70,70,60,2,70,30,60,50
1933,Zuidam Millstone 100 Rye Whisky,Rye,Netherlands,3,50,"new, charred American oak",0,0,80,20,0,90,80,60,20,70,10,70,20
1934,C.W. Irwin Straight Bourbon,Bourbon,"Oregon, USA",2,40,new charred oak,10,0,20,40,10,40,40,60,20,15,0,15,0
1935,Reilly's Mother's Milk,Blended American Whiskey,USA,1,40,,0,0,35,0,5,75,75,80,5,40,5,25,0
1936,Jefferson's Chef's Collaboration,Blended American Whiskey,USA,2,46,"new, charred American oak",20,0,60,30,30,70,60,80,10,20,30,70,10
1937,Navazos-Palazzi Palo Cortado Cask Grain Whisky (July 2014),Single Grain,Spain,4,53.5,ex-palo cortado sherry,0,0,35,0,10,75,75,80,25,60,5,50,10
1938,Michel Couvreur Overaged Malt 12 Year,Blended Malt,"(distilled in Scotland), France",3,43,ex-sherry,20,0,65,30,30,55,55,70,0,40,30,70,40
1939,Bowmore Small Batch,Peated Single Malt,"Islay, Scotland",2,40,ex-bourbon,50,40,15,25,15,65,65,65,20,25,0,20,0
1940,The Steward's Solera Bourbon,Bourbon,"Kentucky, Tennessee and Indiana, USA",2,50,new charred oak,10,0,40,0,10,70,70,75,0,30,20,35,0
1941,Ranger Creek .36 Texas Bourbon,Bourbon,"Texas, USA",3,48,"new, charred American oak",55,0,80,45,30,55,50,65,0,60,40,50,0
1942,Arran Cask Strength 12 Year Batch 3,Single Malt,"Islands, Scotland",3,53.9,ex-bourbon and ex-sherry,25,0,86,64,83,86,86,82,62,81,40,84,69
1943,Elijah Craig 21 Year Single Barrel Bourbon,Bourbon,"Kentucky, USA",5,45,"new, charred American oak",0,0,79,45,63,85,83,73,0,81,69,71,54
1944,George Dickel Rye,Rye,"Indiana, USA",2,45,"new, charred American oak",0,0,85,87,73,70,64,59,20,65,63,70,78
1945,Koval Single Barrel Four Grain,Other Whiskey,"Illinois, USA",2,47,"new, charred American oak",60,0,75,80,55,55,65,70,0,65,35,35,10
1946,Writers' Tears Copper Pot,Blended,Ireland,3,40,ex-bourbon,0,0,40,20,30,40,40,75,0,40,50,60,20
1947,Aberlour 12 Year Sherry Cask Matured,Single Malt,"Highlands, Scotland",3,43,first fill oloroso sherry,15,0,20,0,10,70,70,70,0,10,0,35,5
1948,FEW Single Malt Whisky,American Single Malt,"Illinois, USA",3,46.5,,30,0,60,60,40,55,55,40,0,40,20,45,0
1949,Coppersea New York Raw Rye,White,"New York, USA",2,45,,0,0,20,10,10,80,80,70,0,10,0,40,20
1950,Tullibardine 228 Burgundy Finish,Single Malt,"Highlands, Scotland",3,43,ex-Burgundy wine casks,0,0,70,10,10,70,80,70,10,80,20,90,70
1951,Kavalan Solist Oloroso Sherry Single Cask Strength,Single Malt,Taiwan,5,57.8,ex-oloroso sherry,0,0,60,35,30,90,90,50,0,55,30,70,10
1952,Barterhouse 20 Year Bourbon,Bourbon,"Kentucky, USA",4,45.1,"new, charred American oak",55,0,70,30,20,60,70,75,0,75,20,30,0
1953,Berkshire Mountain New England Corn Whiskey,Corn,"Massachusetts, USA",2,43,used oak & cherrywood,0,0,50,20,50,60,70,60,0,20,40,80,30
1954,Benromach 10 Year,Peated Single Malt,"Speyside, Scotland",2,43,,30,35,5,5,0,60,60,65,5,15,0,12,0
1955,Yellow Rose Outlaw Bourbon,Bourbon,"Texas, USA",3,46,"new, charred American oak",40,0,70,40,30,60,60,40,0,40,30,40,0
1956,Arran Port Cask Finish Single Malt,Single Malt,"Islands, Scotland",3,50,"ex-bourbon, ex-port",0,0,40,30,30,50,50,70,30,30,40,70,50
1957,Corsair Quinoa Whiskey,Other Whiskey,"Tennessee, USA",3,46,,0,0,15,15,0,80,70,70,0,8,10,20,10
1958,Michter's 25 Year Single Barrel Bourbon,Bourbon,USA,5,54.3,new charred oak,0,0,20,0,0,60,60,75,0,20,0,10,0
1959,Amrut Peated Indian Single Malt,Peated Single Malt,India,3,46,,40,30,80,40,20,50,50,70,0,50,20,60,20
1960,Jura Diurachs' Own 16 Year,Single Malt,"Islands, Scotland",3,40,"ex-bourbon, ex-Amoroso sherry",20,0,50,40,40,60,60,70,30,30,50,70,20
1961,Auchentoshan American Oak,Single Malt,"Lowlands, Scotland",2,40,ex-bourbon,30,0,50,30,30,50,50,60,0,60,50,70,30
1962,BenRiach Arumaticus Fumosus 12 Year,Peated Single Malt,"Speyside, Scotland",3,46,"ex-Bourbon, ex-Jamaican rum ",60,70,50,40,40,50,50,60,10,30,40,50,20
1963,Old Forester Birthday Bourbon 2013,Bourbon,"Kentucky, USA",3,49,"new, charred American oak",50,0,20,30,50,50,60,50,0,70,20,50,40
1964,Michael Collins 10 Year Single Malt,Single Malt,Ireland,2,40,ex-Bourbon,30,30,30,30,30,60,60,70,0,40,40,70,10
1965,Powers Signature Release,Single Pot Still,Ireland,2,46,"ex-bourbon, ex-Oloroso sherry",20,0,50,20,30,60,60,70,0,30,40,60,30
1966,Glen Garioch Virgin Oak,Single Malt,"Highlands, Scotland",4,48,new American Oak,30,0,70,60,40,50,50,50,0,60,50,50,20
1967,Knappogue Castle 16 Year Sherry Cask Finished,Single Malt,Ireland,4,40,"ex-Bourbon, ex-Oloroso Sherry",30,0,60,40,40,70,70,70,0,60,30,70,30
1968,Tyrconnell Single Malt,Single Malt,Ireland,2,40,used oak barrels,30,0,60,50,40,60,60,60,0,60,30,60,30
1969,Tomintoul 16 Year,Single Malt,"Speyside, Scotland",3,40,ex-Bourbon,30,0,70,30,30,60,60,70,10,60,40,70,30
1970,Nikka Miyagikyo 12 Year,Single Malt,Japan,4,45,,10,0,40,20,20,60,60,60,10,50,20,60,40
1971,The Glenrothes Select Reserve,Single Malt,"Speyside, Scotland",2,43,"ex-sherry and ex-bourbon, new and used",10,0,60,20,10,60,60,60,10,70,20,70,30
1972,The Glenrothes Alba Reserve,Single Malt,"Speyside, Scotland",2,40,ex-Bourbon,20,0,60,20,20,60,60,70,10,70,30,70,10
1973,Arran 14 Year (Old Label),Single Malt,"Islands, Scotland",3,46,"ex-Bourbon, ex-Oloroso Sherry",10,0,60,20,20,70,60,70,50,60,20,90,90
1974,Jameson 12 Year Special Reserve,Blended,Ireland,3,40,"ex-Bourbon, ex-Oloroso Sherry",20,0,50,30,30,60,60,70,10,50,40,70,20
1975,Jura Origin 10 Year,Single Malt,"Islands, Scotland",2,40,ex-Bourbon,20,10,50,50,40,50,40,70,30,50,60,60,50
1976,Balvenie Doublewood 12 Year,Single Malt,"Speyside, Scotland",3,40,"traditional American oak barrels and hogsheads, Spanish oak ex-oloroso sherry",30,0,30,10,20,70,70,70,10,70,40,70,30
1977,Glenfarclas 12 Year,Single Malt,"Highlands, Scotland",3,43,European oak oloroso sherry casks,40,10,40,30,40,60,60,70,20,40,40,70,50
1978,Georgia Moon Corn Whiskey,Corn,"Kentucky, USA",1,40,Un-Aged,0,0,5,20,0,10,10,80,0,10,5,40,5
1979,Scapa 16 Year,Single Malt,"Islands, Scotland",4,40,ex-Bourbon,20,0,50,40,40,50,50,70,60,50,50,50,50
1980,Kilchoman 100% Islay (2nd Edition),Single Malt,"Islay, Scotland",4,50,Ex-Bourbon,20,60,60,30,40,30,40,30,50,40,10,40,10
1981,Kilchoman Loch Gorm (2015 Edition),Peated Single Malt,"Islay, Scotland",4,46,Ex-Oloroso Sherry,70,80,50,0,60,90,80,70,70,30,0,10,0
1982,Nikka Yoichi 10 Year,Peated Single Malt,Japan,4,45,Oak Casks,30,10,30,0,40,50,60,40,0,40,10,45,10
1983,Glenmorangie Lasanta Sherry Cask Finish 12 Year,Single Malt,"Highlands, Scotland",3,43,"ex-bourbon, finished in ex-oloroso & Pedro Ximenez sherry butts",30,10,70,20,40,50,70,80,20,70,50,80,50
1984,Cardhu 12 Year,Single Malt,"Speyside, Scotland",2,40,,10,10,30,40,30,60,60,70,10,60,50,60,50
1985,Bruichladdich Rocks,Peated Single Malt,"Islay, Scotland",2,46,"ex-bourbon, finished in red Grenache wine casks",30,30,40,10,30,50,50,70,30,60,60,90,60
1986,Sazerac Rye,Rye,"Kentucky, USA",2,45,"new, charred American oak   ",30,0,50,35,10,40,40,60,0,35,55,65,0
1987,Laphroaig Quarter Cask,Peated Single Malt,"Islay, Scotland",3,48,Ex-Bourbon & Modified Ex-Bourbon Quarter Cask,40,70,60,50,70,60,60,50,30,40,30,60,10
1988,Longrow Red 11 Year Cabernet Sauvignon Finish,Peated Single Malt,"Campbeltown, Scotland",4,52.1,ex-bourbon & ex-cabernet sauvignon,87,88,60,70,79,88,86,74,82,73,62,86,63
1989,Caol Ila 12 Years,Peated Single Malt,"Islay, Scotland",3,43,ex-bourbon casks,54,56,72,78,81,83,81,73,20,65,76,71,67
1990,Ardmore Traditional Cask,Peated Single Malt,"Highlands, Scotland",2,46,"American oak, finished in Quarter Casks",40,50,60,40,40,50,50,50,0,40,40,40,20
1991,Connemara 12 Year Peated Single Malt,Peated Single Malt,Ireland,3,40,ex-bourbon,60,60,60,40,60,60,60,60,40,60,30,30,10
1992,FEW Straight Bourbon,Bourbon,"Illinois, USA",2,46.5,"new, charred American oak",20,0,70,40,40,40,50,70,0,50,50,70,30
1993,Cyrus Noble Bourbon,Bourbon,"Kentucky, USA",2,45,New American White Oak Barrels,15,0,50,65,20,50,50,65,0,35,35,55,35
1994,Maker's Mark Bourbon,Bourbon,"Kentucky, USA",2,45,"new, charred American oak",10,0,40,30,10,50,70,80,0,90,20,10,0
1995,Early Times 354 Bourbon,Bourbon,"Kentucky , USA",1,40,"new, charred American oak",10,0,15,0,0,60,60,70,0,20,10,35,0
1996,Puncher's Chance The Left Cross Bourbon,Bourbon,"Kentucky (bottled in Oregon), USA",4,48,"new, charred American oak; finished in Jamaican dark rum casks",5,0,30,5,5,65,60,30,0,20,5,25,0
1997,Woodinville Straight 100% Rye Ruby Port Cask Finish (2022 Harvest Release),Rye,"Washington, USA",3,45,finished in ruby port casks,0,0,70,60,20,60,50,30,0,50,60,90,10
1998,New Riff Maltster T50 Crystal Malt,Bourbon,"Kentucky, USA",3,50,"new, charred American oak",25,0,45,55,10,35,35,30,0,35,10,10,0
1999,Old Overholt 4 Year Straight Rye Whiskey (86 Proof),Rye,"Kentucky, USA",1,43,"new, charred American oak",30,0,80,70,40,60,40,20,0,60,50,40,10
2000,Buzzard's Roost Toasted American Oak Straight Bourbon,Bourbon,"Indiana (finished in Kentucky), USA",3,52.5,finished in toasted American oak barrels,5,0,65,20,5,50,50,25,0,10,20,10,0
2001,Nelson Brothers Reserve Bourbon,Bourbon,"Tennessee, USA",3,53.9,"new, charred American oak",35,0,65,20,40,60,60,50,0,35,35,45,0
2002,Jack Daniel's Triple Mash,Blended American Whiskey,"Tennessee, USA",2,50,"new, charred American oak",30,0,80,30,15,40,40,45,0,40,40,40,0
2003,Wild Turkey Master's Keep Unforgotten,Blended American Whiskey,"Kentucky, USA",5,52.5,"new, charred American oak; finished in rye whiskey barrels",35,0,70,20,30,65,65,55,0,35,30,30,0
2004,Basil Hayden Subtle Smoke,Bourbon,"Kentucky, USA",2,40,"finished in toasted, lightly charred barrel infused with hickory smoke",70,0,50,30,20,60,80,40,0,80,20,20,0
2005,The Wiseman Kentucky Straight Rye,Rye,"Kentucky, USA",3,50.4,"new, charred American oak",10,0,80,80,10,60,50,30,0,60,40,20,0
2006,Puncher's Chance The D12tance Bourbon,Bourbon,"Tennessee, USA",4,48,"new, charred American oak; finished in French oak California cabernet sauvignon wine barrels",10,0,30,10,50,70,80,60,0,40,40,80,30
2007,Lost Irish Whiskey,Blended,Ireland,2,40,,5,0,40,5,10,85,70,50,0,20,10,50,3
2008,Glenmorangie A Tale of Winter,Single Malt,"Highlands, Scotland",4,46,finished in Marsala wine casks,0,0,50,40,20,60,70,40,20,80,40,70,20
2009,Compass Box No Name No. 3,Peated Blended Malt,Scotland,4,48.9,,60,50,20,25,10,45,45,40,10,5,20,15,0
2010,Talisker 8 Year (2021 Special Release),Peated Single Malt,"Islands, Scotland",4,59.7,heavily-peated refill casks,60,30,25,20,10,45,45,40,10,15,5,30,5
2011,High West A Midwinter Night's Dram Act 9 (All Scenes),Rye,"(bottled in) Utah, USA",4,49.3,"new, charred American oak, ex-tawny Port, ex-ruby Port ",10,0,70,60,50,70,70,40,10,50,80,80,20
2012,Highland Park Cask Strength Release No. 2,Peated Single Malt,"Islands, Scotland",4,63.9,sherry seasoned European and American oak casks; ex-bourbon,50,40,20,40,15,45,45,30,15,10,15,50,0
2013,Barrell Bourbon Batch 030,Bourbon,USA,4,58.66,"new, charred American oak",20,0,70,70,50,90,30,20,10,60,40,30,0
2014,Douglas Laing's Double Barrel Speyside & Lowland,Blended Malt,Scotland,3,46,,0,0,30,25,20,30,30,40,0,35,10,25,30
2015,Barrell Bourbon Batch 029,Bourbon,"(bottled in) Kentucky, USA",4,57.94,"new, charred American oak",10,0,30,5,10,80,80,60,15,10,35,30,0
2016,Rod & Hammer's SLO Stills Cask Bourbon,Bourbon,"California , USA",2,56,"new, charred American oak",20,0,60,70,20,70,50,40,0,80,40,20,0
2017,High West Rendezvous Rye Ed Mell Edition (2021 Release),Rye,"Utah, USA",3,46,,10,0,60,70,50,60,50,40,0,70,60,50,10
2018,Virginia Distillery Co. Courage & Conviction Sherry Cask,American Single Malt,"Virginia, USA",4,46,"former fino, oloroso, and Pedro Ximenez sherry casks",10,0,50,25,65,60,60,55,5,55,20,35,20
2019,Paul Sutton Single Barrel Bourbon,Bourbon,"Kentucky, USA",3,50,,30,0,60,30,40,80,40,40,20,80,20,30,0
2020,Virginia Distillery Co. Courage & Conviction Cuvee Cask,American Single Malt,"Virginia, USA",4,46,European red wine STR casks,10,0,50,20,55,60,65,60,5,55,20,35,20
2021,Waterford Dunmore Edition 1.1,Single Malt,Ireland,4,50,"ex-bourbon, French oak, new American oak, and ex-VDN, ",0,0,30,20,20,60,40,40,0,60,70,80,40
2022,Coalition Rye Margaux Barriques Finish,Rye,"Kentucky, USA",4,45.4,finished in Margaux barriques,25,0,75,35,15,55,55,35,0,30,50,50,0
2023,Kooper Family Single Barrel Bourbon,Bourbon,USA,2,46,"new, charred American oak (char #3)",30,0,50,50,40,50,70,50,30,70,40,40,10
2024,PUNI Gold,Other Whiskey,Italy,4,43,first-fill ex-bourbon barrels,5,0,30,0,20,75,75,65,0,30,25,70,10
2025,Stauning Rye,Rye,Denmark,3,48,,20,0,60,80,30,70,50,50,0,70,50,40,40
2026,Tattersall Bottled in Bond High-Rye Bourbon,Bourbon,"Minnesota, USA",2,50,"new, charred American oak",30,0,80,60,40,70,40,30,0,70,40,10,0
2027,Cedar Ridge Straight Rye Whiskey,Rye,"Iowa, USA",2,43,"new, charred American oak",5,0,40,30,45,60,50,65,5,65,35,35,30
2028,Shibui Pure Malt,Blended Malt,Multiple Countries,3,43,"ex-bourbon, oloroso sherry, mizunara oak casks",10,0,40,25,45,60,55,55,10,55,10,25,25
2029,Virginia Distillery Co. Courage & Conviction Dr. Jim Swan Batch,American Single Malt,"Virginia, USA",3,46,"bourbon, wine, sherry ",0,0,15,20,0,65,65,80,0,30,20,70,30
2030,Jura Winter Edition,Single Malt,"Islands, Scotland",2,40,ex-bourbon and ex-sherry casks,0,0,40,20,35,35,30,30,0,20,35,40,10
2031,The Busker Triple Cask Triple Smooth,Blended,Ireland,1,40,"ex-bourbon, ex-sherry, ex-Marsala wine",5,0,40,25,45,50,40,60,0,50,30,40,35
2032,Wheel Horse Bourbon (Batch 1),Bourbon,"Kentucky, USA",2,50.5,"new, charred American oak",10,0,65,20,50,55,60,65,5,60,30,25,20
2033,Lost Lantern American Vatted Malt Edition No. 1,Blended Malt,USA,4,52.5,various casks,15,0,25,15,40,60,60,55,0,10,36,70,0
2034,Elijah Craig Barrel Proof Bourbon Batch C920,Bourbon,"Kentucky, USA",3,66.4,"new, charred American oak",10,0,30,5,0,85,85,75,0,30,40,50,5
2035,Old Overholt Straight Rye Whiskey (114 Proof),Rye,"Kentucky, USA",2,57,"new, charred American oak",40,0,75,35,15,30,30,35,0,40,40,50,0
2036,Pinhook Bohemian Bourbon,Bourbon,"Kentucky, USA",2,47.5,"new, charred American oak",5,0,40,25,55,55,60,65,5,55,15,30,25
2037,Pinhook 4 Year Tiz Rye Time Vertical Series,Rye,USA,2,48.5,"new, charred American oak",5,0,55,20,50,55,60,60,0,60,20,25,15
2038,Smokehead Rum Rebel,Peated Single Malt,"Islay, Scotland",3,46,finished in Caribbean rum casks,35,30,15,10,20,35,30,40,15,30,15,20,0
2039,Westland Colere Edition 1,American Single Malt,"Washington, USA",4,50,2nd fill ISC Cooper's Reserve & 1st-fill ex-bourbon,40,0,30,50,10,70,80,50,20,70,40,30,50
2040,Little Book Chapter 4: Lessons Honored,Blended American Whiskey,"Kentucky, USA",4,61.4,"new, charred American oak",5,0,35,15,0,90,80,70,0,20,15,10,0
2041,Two Stacks The Blender's Cut Cask Strength,Blended,Ireland,3,65.15,"virgin oak casks, ex-bourbon casks, ex-oloroso sherry butts",10,0,50,60,30,80,60,30,10,70,30,50,10
2042,Chattanooga Whiskey 99 Rye,Rye,"Tennessee, USA",2,49.5,"new, charred American oak",10,0,45,25,55,50,55,60,5,60,35,35,20
2043,Still Austin The Musician Straight Bourbon,Bourbon,"Texas, USA",2,49.2,"new, charred American oak",10,0,40,20,50,55,55,60,5,60,30,20,25
2044,Glenlivet 12 Year Illicit Still,Single Malt,"Speyside, Scotland",2,48,,0,0,35,30,20,30,30,40,0,40,20,25,25
2045,Penderyn Icons of Wales #7 Rhiannon,Single Malt,Wales,3,46,Sherrywood Grand Cru Finish,0,0,20,10,30,35,25,55,0,40,20,45,10
2046,Cardhu 11 Year (2020 Special Release),Single Malt,"Speyside, Scotland",4,56,"refill, new, and ex-bourbon American oak",0,0,35,30,30,35,20,25,0,35,25,20,10
2047,Kooper Family Rye,Rye,USA,2,45,"new, charred American oak, finished in used bourbon",30,0,70,80,45,60,75,30,20,50,30,0,40
2048,Balcones Lineage Texas Single Malt,American Single Malt,"Texas, USA",2,47,"refill oak barrels and new, charred American oak",15,0,60,15,65,65,60,65,5,60,10,15,10
2049,Frey Ranch Straight Rye,Rye,"Nevada, USA",3,50,"new, charred American oak",10,0,65,30,55,60,65,60,5,65,20,30,15
2050,Bardstown Bourbon Co. Fusion Series #3,Bourbon,"Kentucky, USA",3,49.45,"new, charred American oak",10,0,30,40,20,60,50,40,10,70,50,40,0
2051,Virginia Distillery Co. Courage & Conviction Dr. George G. Moore Batch,American Single Malt,"Virginia, USA",3,46,"ex-bourbon, ex-sherry, ex-cuvee",10,0,40,20,40,60,70,60,10,80,20,60,30
2052,Knob Creek 9 Year Small Batch Bourbon,Bourbon,"Kentucky , USA",2,50,"new, charred American oak",15,0,65,20,55,60,65,60,5,65,10,20,15
2053,Ardbeg Wee Beastie,Peated Single Malt,"Islay, Scotland",2,47.4,ex-bourbon and ex-oloroso sherry,60,40,20,0,40,60,60,50,70,60,10,40,10
2054,Bowmore Vault Edition Second Release Peat Smoke,Peated Single Malt,"Islay, Scotland",5,50.1,,40,10,0,15,0,0,0,10,0,0,0,20,0
2055,The Whistler Double Oaked,Blended,Ireland,2,40,ex-bourbon and ex-oloroso sherry,5,0,40,30,50,55,60,60,5,60,15,35,30
2056,Frey Ranch Straight Bourbon,Bourbon,"Nevada, USA",2,45,"new, charred American oak",5,0,45,20,50,50,55,55,5,60,20,25,20
2057,M&H Whisky in Bloom Young Single Malt Double Cask,Single Malt,Israel,3,46,ex-bourbon and ex-red wine STR casks,5,0,40,30,45,55,55,50,15,40,30,30,25
2058,M&H Whisky in Bloom Young Single Malt Lightly Peated,Peated Single Malt,Israel,3,46,"ex-borbon, ex-red wine STR casks, ex-Islay peated whisky casks",15,25,55,35,55,55,60,45,15,45,25,20,10
2059,McConnell's Irish Whisky 5 Year,Blended,Ireland,2,42,American oak,10,0,30,40,40,50,60,50,0,80,40,70,60
2060,Teeling Single Pot Still,Single Pot Still,Ireland,3,46,"ex-bourbon, virgin oak, ex-sherry",5,0,40,30,50,55,55,50,10,45,25,20,20
2061,The Whistler Imperial Stout Cask Finish,Blended,Ireland,2,43,"ex-bourbon barrels, Boyne Brewhouse Imperial Stout hogshead barrels",10,0,55,20,60,60,65,55,5,55,25,15,25
2062,Egan's Centenary Irish Whiskey,Blended,Ireland,4,46,married in French Limousin oak ex-cognac XO barrels,5,0,20,35,30,40,40,45,5,40,35,30,25
2063,Wanderback American Single Malt Batch No. 1,American Single Malt,"Washington (aged in Oregon), USA",3,45,"high toast, low char new American oak",15,0,55,30,55,55,60,50,10,50,35,20,25
2064,Chivas Regal 13 Year Manchester United Special Edition,Blended,Scotland,2,40,selectively finished in American rye casks,0,0,70,40,75,80,60,70,65,70,40,55,30
2065,Dewar's Caribbean Smooth,Blended,Scotland,1,40,finished in ex-Caribbean rum casks,5,0,20,25,45,55,55,65,5,60,20,15,15
2066,Remus Repeal Reserve Series III (2019 Medley),Bourbon,"Indiana, USA",4,50,"new, charred American oak",0,0,60,40,50,60,70,85,55,80,40,30,40
2067,Chattanooga Whiskey 91,Bourbon,"Tennessee, USA",2,45.5,Toasted and charred oak; finished in charred oak solera,5,0,30,20,45,50,50,55,10,50,30,25,15
2068,GlenAllachie 12 Year Pedro Ximenez Sherry Wood Finish,Single Malt,"Speyside, Scotland",3,48,American oak & ex-Pedro Ximenez sherry puncheons,0,0,20,15,35,40,35,35,0,20,20,40,25
2069,Finlaggan Red Wine Cask Matured,Peated Single Malt,"Islay, Scotland",2,46,finished in red wine casks,35,45,35,10,25,40,25,50,15,30,10,25,5
2070,"Colonel E.H. Taylor, Jr. Amaranth Bourbon Bottled in Bond",Bourbon,"Kentucky, USA",3,50,"new, charred American oak",30,0,80,60,10,80,40,40,0,50,20,0,0
2071,Mackmyra Appelblom,Single Malt,Sweden,3,46.1,ex-calvados,0,0,25,10,30,30,30,25,0,35,35,45,25
2072,Scarabus Single Malt,Peated Single Malt,"Islay, Scotland",2,46,,35,35,5,0,5,0,0,10,0,0,0,0,0
2073,Armorik Triagoz Single Malt,Peated Single Malt,"Britanny , France",4,46,Ex-bourbon casks,30,10,35,40,35,25,35,20,15,25,10,20,5
2074,Rebel Yell Kentucky Straight Bourbon 100 Proof,Bourbon,"Kentucky, USA",1,50,"new, charred American oak",75,0,85,60,80,65,65,75,40,80,0,50,60
